dtm,o3_1
2023-07-12T14:05:00.000000,28.63
2023-07-12T14:10:00.000000,31.41
2023-07-12T14:15:00.000000,28.26
2023-07-12T14:20:00.000000,30.05
2023-07-12T14:25:00.000000,26.73
2023-07-12T14:30:00.000000,29.28
2023-07-12T14:35:00.000000,26.6
2023-07-12T14:40:00.000000,27.8
2023-07-12T14:45:00.000000,29.18
2023-07-12T14:50:00.000000,26.24
2023-07-12T14:55:00.000000,26.71
2023-07-12T15:00:00.000000,29.93
2023-07-12T15:05:00.000000,27.33
2023-07-12T15:10:00.000000,29.74
2023-07-12T15:15:00.000000,29.27
2023-07-12T15:20:00.000000,27.11
2023-07-12T15:25:00.000000,27.36
2023-07-12T15:30:00.000000,26.87
2023-07-12T15:35:00.000000,27.9
2023-07-12T15:40:00.000000,28.0
2023-07-12T15:45:00.000000,25.29
2023-07-12T15:50:00.000000,24.38
2023-07-12T15:55:00.000000,24.73
2023-07-12T16:00:00.000000,25.33
2023-07-12T16:05:00.000000,28.23
2023-07-12T16:10:00.000000,25.71
2023-07-12T16:15:00.000000,32.65
2023-07-12T16:20:00.000000,25.67
2023-07-12T16:25:00.000000,28.0
2023-07-12T16:30:00.000000,29.61
2023-07-12T16:35:00.000000,24.14
2023-07-12T16:40:00.000000,24.57
2023-07-12T16:45:00.000000,25.0
2023-07-12T16:50:00.000000,24.69
2023-07-12T16:55:00.000000,23.28
2023-07-12T17:00:00.000000,22.2
2023-07-12T17:05:00.000000,23.38
2023-07-12T17:10:00.000000,26.75
2023-07-12T17:15:00.000000,22.72
2023-07-12T17:20:00.000000,28.52
2023-07-12T17:25:00.000000,23.23
2023-07-12T17:30:00.000000,31.2
2023-07-12T17:35:00.000000,24.38
2023-07-12T17:40:00.000000,24.12
2023-07-12T17:45:00.000000,24.71
2023-07-12T17:50:00.000000,21.97
2023-07-12T17:55:00.000000,22.93
2023-07-12T18:00:00.000000,26.68
2023-07-12T18:05:00.000000,24.72
2023-07-12T18:10:00.000000,18.95
2023-07-12T18:15:00.000000,21.12
2023-07-12T18:20:00.000000,22.04
2023-07-12T18:25:00.000000,23.27
2023-07-12T18:30:00.000000,19.19
2023-07-12T18:35:00.000000,17.25
2023-07-12T18:40:00.000000,29.04
2023-07-12T18:45:00.000000,19.23
2023-07-12T18:50:00.000000,14.11
2023-07-12T18:55:00.000000,15.23
2023-07-12T19:00:00.000000,22.94
2023-07-12T19:05:00.000000,13.58
2023-07-12T19:10:00.000000,15.56
2023-07-12T19:15:00.000000,9.62
2023-07-12T19:20:00.000000,12.45
2023-07-12T19:25:00.000000,26.63
2023-07-12T19:30:00.000000,12.29
2023-07-12T19:35:00.000000,29.04
2023-07-12T19:40:00.000000,11.57
2023-07-12T19:45:00.000000,11.0
2023-07-12T19:50:00.000000,10.97
2023-07-12T19:55:00.000000,11.57
2023-07-12T20:00:00.000000,11.44
2023-07-12T20:05:00.000000,9.96
2023-07-12T20:10:00.000000,12.59
2023-07-12T20:15:00.000000,15.55
2023-07-12T20:20:00.000000,11.54
2023-07-12T20:25:00.000000,12.65
2023-07-12T20:30:00.000000,11.22
2023-07-12T20:35:00.000000,16.26
2023-07-12T20:40:00.000000,12.14
2023-07-12T20:45:00.000000,13.18
2023-07-12T20:50:00.000000,13.35
